Role,Name,Creativity & Innovation,Adapability & Felbility,Problem Solving Skills,Empathy & User Centric Focus,Iterative Mindset,Leadership Influence,Critical Thinking,Continous Learning,Resourcefulness
Intraprenuer,Ricky Yoder,5,3,4,2,3,5,2,4,5
Intraprenuer,Megan Davis,5,4,3,4,3,5,3,4,5
Intraprenuer,Mark Martin,5,3,3,2,4,5,2,4,5
Intraprenuer,Randall Clark,4,3,3,3,4,4,2,3,5
Intraprenuer,Patricia Carter,4,3,3,3,4,5,3,4,4
Intraprenuer,Matthew Beck,3,4,3,3,4,5,1,3,4
Intraprenuer,Daniel Francis,5,3,4,3,3,5,1,3,4
Intraprenuer,Jennifer West,5,4,4,4,3,5,2,3,5
Intraprenuer,Jonathan Baker,4,5,4,2,3,5,1,4,4
Intraprenuer,Ann Rios DDS,4,4,3,3,3,5,3,4,5
Intraprenuer,Sean Watkins MD,3,4,3,2,3,4,3,3,5
Intraprenuer,Amanda Evans,3,4,3,3,4,5,1,4,5
Intraprenuer,Tracy White,4,3,3,2,4,5,1,3,5
Intraprenuer,Samuel Silva,5,3,4,3,4,5,2,4,4
Intraprenuer,Rita Mitchell,5,5,3,3,4,5,1,4,5
Intraprenuer,Terry Williams,4,4,4,4,4,4,2,3,5
Intraprenuer,Laura Johnson,5,3,4,2,4,5,1,3,5
Intraprenuer,Michael Bradford,3,3,3,3,4,5,1,3,5
Intraprenuer,Michelle Patton,4,4,3,4,3,4,2,3,4
Intraprenuer,Stephanie Graves,5,5,4,3,4,5,3,4,5
Intraprenuer,Emily Green,4,4,3,4,3,4,3,4,4
Intraprenuer,Nicholas Collins,4,5,4,3,4,5,3,4,5
Intraprenuer,Glenn Nunez,3,3,4,2,4,4,3,3,4
Intraprenuer,Frederick Holloway,3,5,3,2,4,4,3,3,5
Intraprenuer,Alexis Gamble,3,5,4,4,4,5,3,4,5
Intraprenuer,Daniel Guzman,4,4,3,4,4,5,2,3,4
Intraprenuer,Laura Kaufman,4,5,3,3,3,5,2,4,5
Intraprenuer,Robert Buchanan,3,5,4,3,4,5,1,3,5
Intraprenuer,Elizabeth Barrett,5,5,3,3,3,4,2,3,5
Intraprenuer,Sydney Williams,3,3,3,2,4,4,3,4,5
Intraprenuer,Colleen Caldwell,4,5,4,3,3,5,2,4,5
Intraprenuer,Richard Reed,5,5,3,2,3,4,2,4,4
Intraprenuer,Theresa Golden,5,4,4,3,4,5,1,3,5
Intraprenuer,Tammy Cox,3,4,4,4,3,4,3,4,4
Intraprenuer,Lauren Brown,3,5,3,2,4,4,1,4,5
Intraprenuer,Carla Estrada,5,3,3,2,3,4,1,3,5
Intraprenuer,Karen Flores,5,3,4,2,3,4,2,4,4
Intraprenuer,Ashley Wright,5,4,4,2,4,4,3,4,5
Intraprenuer,Jessica Taylor,3,5,3,2,4,4,1,4,4
Intraprenuer,Christine Carlson,4,4,3,3,4,4,1,4,5
Intraprenuer,Cheryl Kim,5,5,4,2,3,5,1,3,5
Intraprenuer,Erika Juarez,4,4,3,3,3,4,3,4,4
Intraprenuer,Jackie Steele,3,4,4,4,4,4,3,3,5
Intraprenuer,Jessica Paul,4,3,4,3,4,5,3,3,5
Intraprenuer,Ebony Joyce,3,5,3,4,3,4,2,3,5
Intraprenuer,Robert Murray,5,5,4,3,4,5,1,3,4
Intraprenuer,Mark Taylor,5,5,4,4,3,5,2,4,5
Intraprenuer,Rebecca Gray,4,3,3,2,4,4,3,3,5
Intraprenuer,Shelby Robinson,3,3,3,2,3,4,1,4,4
Intraprenuer,Spencer Short,3,5,3,2,4,4,1,3,5
Intraprenuer,Autumn Bennett,3,3,4,4,3,4,1,3,5
Intraprenuer,Christina Jones,4,5,3,4,4,4,1,4,5
Intraprenuer,Heather Rios,4,5,3,3,4,4,1,3,5
Intraprenuer,Deanna Vasquez,3,3,4,4,3,5,2,4,5
Intraprenuer,Robyn Adams,5,5,3,2,3,5,3,3,5
Intraprenuer,Shelia Williams,4,5,4,4,3,5,3,3,5
Intraprenuer,Rachel Lee,5,3,3,2,3,5,2,3,4
Intraprenuer,Danielle Orr,3,5,3,2,4,4,1,3,4
Intraprenuer,Michele Hernandez,4,3,4,4,4,4,1,3,4
Intraprenuer,Ricardo Robles,3,5,4,3,4,4,2,3,5
Intraprenuer,Maureen Ashley,4,5,4,4,4,4,2,3,4
Intraprenuer,Jessica Ward,5,4,4,3,4,5,1,3,4
Intraprenuer,Angel Chung,4,4,4,3,3,4,1,3,5
Intraprenuer,Maria Mendoza,5,5,3,4,3,4,3,3,4
Intraprenuer,Jennifer Ruiz,5,3,4,4,3,4,3,4,4
Intraprenuer,Lisa Tran,5,3,3,3,3,4,2,3,4
Intraprenuer,Tiffany Cooper,3,3,3,3,3,5,3,4,4
Intraprenuer,Charles Copeland,5,5,3,3,4,4,3,4,5
Intraprenuer,Mercedes Best,5,5,3,2,4,5,2,3,5
Intraprenuer,Jon Brady,4,3,3,4,4,4,3,3,5
Intraprenuer,Paula Osborne,3,3,3,2,3,5,2,4,5
Intraprenuer,Dr. Tim Newton,5,4,4,2,3,5,1,4,4
Intraprenuer,Patricia Stephens,4,3,4,4,4,4,2,3,5
Intraprenuer,Denise Watts,3,3,4,4,3,4,2,4,5
Intraprenuer,William Ward,5,3,3,2,3,4,1,3,4
Intraprenuer,Melissa Pena,4,3,3,2,3,5,2,3,4
Intraprenuer,Shelia Ramirez,3,4,3,3,3,4,2,4,4
Intraprenuer,Jordan Friedman,5,3,3,2,3,5,2,4,4
Intraprenuer,William Garza,3,5,4,4,3,5,3,3,4
Intraprenuer,Breanna Berry,5,5,4,4,3,4,2,3,4
Intraprenuer,Jeffrey Hall,4,4,4,2,4,5,2,3,5
Intraprenuer,Travis Mullen,3,3,3,2,3,4,1,4,4
Intraprenuer,Charles Jordan,3,5,4,4,3,4,1,3,4
Intraprenuer,Francisco Shaw,3,5,4,3,4,4,3,4,5
Intraprenuer,James Ellison,5,5,4,4,3,4,2,4,4
